Продукт,Білки,Жири,Вуглеводи,ккал
Бренді,0,0,1,225
Вермут,0,0,"15,9",155
Вино жінці,0,0,0,66
Вино напівсухе,"0,3",0,"2,5",78
Вино десертні,"0,5",0,20,175
Вино полусолодке,"0,2",0,5,88
Вино столове,"0,2",0,"0,2",67
Віскі,0,0,0,222
Горілка,0,0,"0,1",234
Джин,0,0,0,223
Коньяк,0,0,"0,1",240
Лікер,0,0,53,344
"Пиво 3,0%","0,6",0,"3,5",37
"Пиво 4,5%","0,8",0,"4,5",45
Пиво темне,"0,2",0,4,39
Портвейн,0,0,"13,8",167
Ром,0,0,0,217
Шампанське,"0,3",0,"5,2",88
Абрикосовий сік,"0,9","0,2","9,2",39
Ананасовий сік,"0,2","0,2","11,4",48
Апельсиновий сік,"0,9","0,1","8,4",36
Виноградний сік,"0,3",0,"14,5",56
Вишневий сік,"0,5",0,"10,6",49
Гранатовий сік,"0,2",0,14,58
Какао на молоці,24,17,"33,1",377
Квас хлібний,"0,2",0,5,26
Кола,0,0,10,40
Кави з молоком,"0,8",1,11,56
Лімонад,0,0,"6,1",24
Лімонний сік,1,"0,1","3,2",18
Морквяний сік,1,"0,1","6,5",31
Персиковий сік,"0,8","0,1","9,1",37
Пиво безалкогольне,0,0,"4,1",22
Зелений чай,0,0,0,0
Чорний чай без цукру,0,0,0,0
Чорний чай з лимоном та цукром (2 ч. л.),"0,8","0,7","8,3",41
Чорний чай зі згущеним молоком (2 ч. л.),"2,4","2,9","19,1",112
Єнергетичний напій,0,0,"11,4",47
Яблучний сік,"0,5","0,4","9,7",42
Гречана каша,"4,5","1,6","27,4",137
Кукурудзяні пластівці,"6,5","2,9","83,8",372
Манна каша,"2,5","0,3","16,4",77
Вівсяна каша,"3,2","1,8","15,4",93
Вівсяні пластівці,"11,9","7,5","69,1",358
Перлова каша,"3,2","0,5","22,7",102
Пшоняна каша,3,"0,8","17,2",92
Рисова каша,"1,5","0,2","17,3",79
Ячна каша,"1,4","0,3","18,7",84
Ячні пластівці,"9,1","3,2","79,7",345
Білі свіжі,"3,3","1,5","2,4",32
Білі сушені,"23,8","6,8","30,2",277
Вішанки свіжі,"2,5","0,5","6,2",34
Лисички свіжі,"1,5",1,"2,4",22
Лисички сушені,22,"7,2","25,4",268
Маслюки свіжі,"2,5","0,7","1,5",12
Опеньки свіжі,"2,4",1,"2,5",25
Підберезники свіжі,"2,1","1,2","3,4",30
Підберезники сушені,"23,3","9,5","14,4",231
Підосиновики свіжі,"3,3","0,4","3,5",31
Підосиновики сушені,"35,2","5,4",33,325
Рижики свіжі,"1,9","0,7","2,3",16
Сироїжки свіжі,"1,6","0,8","1,7",15
Печериці свіжі,"4,3","0,9","1,4",29
Ікра кети зерниста,"31,6","13,7",0,250
Ікра ляща,"24,6","4,9",0,144
Ікра мінтая,"28,3","1,8",0,127
Ікра осетрова зерниста,"28,3","9,6",0,201
Ікра осетрова пробійна,"36,3","10,1",0,235
Жир курячий,0,"99,7",0,896
Жир топлений свиний,0,"99,5",0,882
Маргарин вершковий,"0,5","82,3",0,746
Маргарин столовий молочний,"0,5",82,"0,9",744
Майонез 67%,"3,3",67,"2,4",624
Олія лляна,0,"99,8",0,898
Олія оливкова,0,"99,8",0,898
Олія соняшникова,0,"99,9",0,899
"Масло вершкове 82,5%","0,5","82,5",1,747
Масло топлене,"0,4","98,1","0,5",885
Йогурт 1.5%,"4,3","1,5","8,4",65
Йогурт 3.2%,5,"3,2","8,9",87
Кефір 0%,"2,8",0,"3,8",29
Кефір 1%,"2,8",1,"4,0",37
"Кефір 2,5%",3,"2,5","4,0",51
"Кефір 3,2%","3,2","3,2","4,1",57
Молоко 0%,"2,8",0,"4,6",34
Молоко 1%,"2,8",1,"4,6",43
"Молоко 2,5%","2,8","2,5","4,6",53
"Молоко 3,2%","2,8","3,2","4,6",58
козяче Молоко сире,"3,1","4,2","4,7",71
Молоко коров’яче сире,"3,2","3,6","4,7",63
Молоко знежирене,"2,1","0,1","4,5",30
Молоко сухе незбиране,"25,2",25,"39,6",477
Молоко згущене,"7,3","7,7","9,7",139
"Кисле молоко 3,2%","2,9","3,2","4,0",57
"Ряжанка 2,5%","2,9","2,5","4,1",53
"Ряжанка 4,0%","2,9",4,"4,1",68
Вершки 10%,"2,8",10,"4,1",121
Вершки 20%,"2,8",20,"3,9",209
Сметана 10%,3,10,"2,9",118
